id,long,lat
1,113.6,-28.3
2,113.7,-28.45
3,114,-27.25
4,114.05,-27.25
5,114.05,-27.3
6,114.05,-27.35
7,114.1,-27.15
8,114.1,-27.2
9,114.1,-27.25
10,114.1,-27.3
11,114.1,-27.35
12,114.1,-27.4
13,114.1,-27.45
14,114.15,-27.15
15,114.15,-27.2
16,114.15,-27.25
17,114.15,-27.3
18,114.15,-27.35
19,114.15,-27.4
20,114.15,-27.45
21,114.15,-27.5
22,114.15,-27.55
23,114.15,-27.6
24,114.15,-27.75
25,114.15,-27.8
26,114.15,-27.85
27,114.15,-27.9
28,114.15,-27.95
29,114.15,-28
30,114.2,-27.15
31,114.2,-27.2
32,114.2,-27.25
33,114.2,-27.3
34,114.2,-27.35
35,114.2,-27.4
36,114.2,-27.45
37,114.2,-27.5
38,114.2,-27.55
39,114.2,-27.6
40,114.2,-27.65
41,114.2,-27.7
42,114.2,-27.75
43,114.2,-27.8
44,114.2,-27.85
45,114.2,-27.9
46,114.2,-27.95
47,114.2,-28
48,114.2,-28.05
49,114.2,-28.1
50,114.25,-27.25
51,114.25,-27.3
52,114.25,-27.35
53,114.25,-27.4
54,114.25,-27.45
55,114.25,-27.5
56,114.25,-27.55
57,114.25,-27.6
58,114.25,-27.65
59,114.25,-27.7
60,114.25,-27.75
61,114.25,-27.8
62,114.25,-27.85
63,114.25,-27.9
64,114.25,-27.95
65,114.25,-28
66,114.25,-28.05
67,114.25,-28.1
68,114.25,-28.15
69,114.3,-27.25
70,114.3,-27.3
71,114.3,-27.35
72,114.3,-27.4
73,114.3,-27.45
74,114.3,-27.5
75,114.3,-27.55
76,114.3,-27.6
77,114.3,-27.65
78,114.3,-27.7
79,114.3,-27.75
80,114.3,-27.8
81,114.3,-27.85
82,114.3,-27.9
83,114.3,-27.95
84,114.3,-28
85,114.3,-28.05
86,114.3,-28.1
87,114.3,-28.15
88,114.3,-28.2
89,114.35,-27.25
90,114.35,-27.3
91,114.35,-27.35
92,114.35,-27.4
93,114.35,-27.45
94,114.35,-27.5
95,114.35,-27.55
96,114.35,-27.6
97,114.35,-27.65
98,114.35,-27.7
99,114.35,-27.75
100,114.35,-27.8
101,114.35,-27.85
102,114.35,-27.9
103,114.35,-27.95
104,114.35,-28
105,114.35,-28.05
106,114.35,-28.1
107,114.35,-28.15
108,114.35,-28.2
109,114.35,-28.25
110,114.4,-27.25
111,114.4,-27.3
112,114.4,-27.35
113,114.4,-27.4
114,114.4,-27.45
115,114.4,-27.5
116,114.4,-27.55
117,114.4,-27.6
118,114.4,-27.65
119,114.4,-27.7
120,114.4,-27.75
121,114.4,-27.8
122,114.4,-27.85
123,114.4,-27.9
