"","simFile","metFile","long","lat","soilLong","soilLat"
"1","11400-2725.apsimx","silo_11400-2725.met",114,-27.25,113.99,-27.27
"2","11405-2725.apsimx","silo_11405-2725.met",114.05,-27.25,113.99,-27.27
"3","11405-2730.apsimx","silo_11405-2730.met",114.05,-27.3,113.99,-27.27
"4","11405-2735.apsimx","silo_11405-2735.met",114.05,-27.35,113.99,-27.27
"5","11410-2715.apsimx","silo_11410-2715.met",114.1,-27.15,113.99,-27.27
"6","11410-2720.apsimx","silo_11410-2720.met",114.1,-27.2,113.99,-27.27
"7","11410-2725.apsimx","silo_11410-2725.met",114.1,-27.25,113.99,-27.27
"8","11410-2730.apsimx","silo_11410-2730.met",114.1,-27.3,113.99,-27.27
"9","11410-2735.apsimx","silo_11410-2735.met",114.1,-27.35,113.99,-27.27
"10","11410-2740.apsimx","silo_11410-2740.met",114.1,-27.4,113.99,-27.27
"11","11410-2745.apsimx","silo_11410-2745.met",114.1,-27.45,113.99,-27.27
"12","11415-2715.apsimx","silo_11415-2715.met",114.15,-27.15,113.99,-27.27
"13","11415-2720.apsimx","silo_11415-2720.met",114.15,-27.2,113.99,-27.27
"14","11415-2725.apsimx","silo_11415-2725.met",114.15,-27.25,113.99,-27.27
"15","11415-2730.apsimx","silo_11415-2730.met",114.15,-27.3,113.99,-27.27
"16","11415-2735.apsimx","silo_11415-2735.met",114.15,-27.35,113.99,-27.27
"17","11415-2740.apsimx","silo_11415-2740.met",114.15,-27.4,113.99,-27.27
"18","11415-2745.apsimx","silo_11415-2745.met",114.15,-27.45,114.15,-27.88
"19","11415-2750.apsimx","silo_11415-2750.met",114.15,-27.5,114.15,-27.88
"20","11415-2755.apsimx","silo_11415-2755.met",114.15,-27.55,114.15,-27.88
"21","11415-2760.apsimx","silo_11415-2760.met",114.15,-27.6,114.15,-27.88
"22","11415-2775.apsimx","silo_11415-2775.met",114.15,-27.75,114.15,-27.88
"23","11415-2780.apsimx","silo_11415-2780.met",114.15,-27.8,114.15,-27.88
"24","11415-2785.apsimx","silo_11415-2785.met",114.15,-27.85,114.15,-27.88
"25","11415-2790.apsimx","silo_11415-2790.met",114.15,-27.9,114.15,-27.91
"26","11415-2795.apsimx","silo_11415-2795.met",114.15,-27.95,114.15,-27.94
"27","11415-2800.apsimx","silo_11415-2800.met",114.15,-28,114.17,-28
"28","11420-2715.apsimx","silo_11420-2715.met",114.2,-27.15,114.36,-27.15
"29","11420-2720.apsimx","silo_11420-2720.met",114.2,-27.2,114.36,-27.15
"30","11420-2725.apsimx","silo_11420-2725.met",114.2,-27.25,114.36,-27.15
"31","11420-2730.apsimx","silo_11420-2730.met",114.2,-27.3,114.36,-27.15
"32","11420-2735.apsimx","silo_11420-2735.met",114.2,-27.35,114.36,-27.15
"33","11420-2740.apsimx","silo_11420-2740.met",114.2,-27.4,114.37,-27.2
"34","11420-2745.apsimx","silo_11420-2745.met",114.2,-27.45,114.17,-27.88
"35","11420-2750.apsimx","silo_11420-2750.met",114.2,-27.5,114.17,-27.88
"36","11420-2755.apsimx","silo_11420-2755.met",114.2,-27.55,114.17,-27.88
"37","11420-2760.apsimx","silo_11420-2760.met",114.2,-27.6,114.17,-27.88
"38","11420-2765.apsimx","silo_11420-2765.met",114.2,-27.65,114.2,-27.89
